,VALUE,label_id,label
460,"Seperti kita ketahui, Sebelum ditangkap Yesus berdoa   ""Ya Bapa-Ku, jikalau sekiranya mungkin, biarlah cawan ini lalu dari pada-Ku, tetapi janganlah seperti yang Kukehendaki, melainkan seperti yang Engkau kehendaki."" Yesus menggunakan gambaran 'minum dari cawan' untuk menggambarkan penderitaan dan kematian yang harus Dia tanggung Di doa-Nya yang dicatat Yohanes, Yesus mengatakan bahwa Ia tidak minta Bapa menyelamatkan-Nya dari momen penderitaan yang akan datang (Yohanes 12:27-28). Hal ini juga menguatkan pemahaman Allah tidak kalah,  Justru Sebagai Anak Tunggal-Nya, Ia menunjukkan ketaatan-Nya kepada Bapa melalui ketabahan-Nya untuk menderita bahkan mati disalib sebagai kurban penghapus dosa, dan ini adalah kemenangan luar biasa.",2,Prayer
580,"""Ya Allah, apabila saat ini mata kami masih tertahan untuk dapat berjumpa dengan-Mu, bukalah mata kami ya Allah. Celikkanlah sehingga kami senantiasa dapat memandang-Mu. Biarlah hikmat-Mu supaya ketika kami mengenang segala perbuatan-Mu yang ajaib, kami senantiasa percaya bahwa Engkau Allah yang memegang setiap musim kehidupan kami. Engkau Allah yang senantiasa berkenan menjadi sahabat kami, Engkau benar-benar ada dan kami mengalaminya. Amin.""",2,Prayer
596,"PF:	Aku melayangkan mataku ke gunung-gunung, dari manakah akan datang pertolonganku?",2,Prayer
597,"S:	Pertolonganku ialah dari TUHAN, yang menjadikan langit dan bumi",2,Prayer
598,"PF:	Ia tak kan membiarkan kakimu goyah, Penjagamu tidak akan terlelap",2,Prayer
599,"U:	(menyanyikan Amin, Amin, Amin)",2,Prayer
601,"PF:	Kasih karunia dan damai sejahtera dari Allah Bapa kita, dan dari Tuhan Yesus Kristus menyertai saudara sekalian",2,Prayer
602,U:	dan menyertai saudara juga,2,Prayer
616,"PF:	""Tuhan memandang ke bawah dari sorga kepada anak-anak manusia untuk melihat, apakah ada yang berakal budi dan yang mencari Allah. Mereka semua telah menyeleweng, semuanya telah bejat; tidak ada yang berbuat baik, seorang pun tidak"" (Mazmur 14:2-3).",2,Prayer
617,"Saudara-saudaraku, kita adalah orang-orang yang patut dimurkai, kita adalah orang-orang yang berlumuran dosa…",2,Prayer
708,"PF:	Kita masuki ibadah Minggu Prapaska ke-1 ini dengan pengakuan: Penolong kita adalah Tuhan yang menciptakan langit, bumi dan segala isinya, dan yang setia menepati janji-Nya.",2,Prayer
709,"U:	(menyanyikan Amin, Amin, Amin)",2,Prayer
711,"PF:	Kasih karunia dan damai sejahtera dari Allah Bapa kita, dan dari Tuhan Yesus Kristus menyertai Saudara sekalian.",2,Prayer
712,U:	Menyertai Saudara juga,2,Prayer
