,VALUE,label_id,label
1,"Bagi orang Kristen, hidup dimulai dari kebangkitan. Pengalaman pada kebangkitan Kristus itu menjadi daya baru untuk menjalani hidup setiap hari. Jika salib dan kematian menjadi akhir dari karya Kristus, maka berakhir pula kehidupan persekutuan dalam karya Bapa, Anak dan Roh Kudus. Oleh kebangkitanlah, puing-puing reruntuhan kematian dibangun kembali melalui penciptaan baru dalam Dia.",3,Sermon
2,"Kristus telah melewati kematian agar manusia beroleh pengharapan. Melalui hal itu, kita dimampukan melewati kematian karena kita turut dalam kebangkitan-Nya (Filipi 3:10-11). Di sinilah kita menjadi ""Manusia Paska"", manusia yang berpengharapan karena kebangkitan Yesus. Manusia Paska itu menjadi manusia yang terus berjuang. Perjuangan itu seperti perjalanan bangsa Israel dari tanah perbudakan menuju tanah perjanjian; sebagaimana pergulatan Yesus dari sengsara menuju kebangkitan-Nya.",3,Sermon
3,"Gereja adalah persekutuan kebangkitan. Para murid dengan pengalaman yang sama tentang kebangkitan terpanggil untuk berkomunitas. Dari komunitas itu, pewartaan tentang kebangkitan dinyatakan bagi dunia. Peristiwa kebangkitan Yesus tidak hanya terjadi pada masa lampau, melainkan juga menjadi peristiwa yang terjadi pada masa kini dalam kehidupan orang Kristen. Demikianlah orang Kristen harus hidup, bangkit bersama Yesus (Robert Davidson, hal. 201).",3,Sermon
4,"Melalui tema ""Menjadi Manusia Paska"" ini, LPP Sinode mengajak gereja-gereja untuk menghayati kembali bahwa kebangkitan Kristus bergerak dari kegelapan menuju cahaya pengharapan, dari sakit menjadi pulih, dari krisis menuju perkembangan sehingga kehidupan menjadi Paska-Paska yang membuat hidup semakin bermakna dalam anugerah Bapa, Anak dan Roh Kudus yang merengkuh semesta raya dengan cinta-Nya.",3,Sermon
5,"Covid, Allah yang Kalah?",3,Sermon
6,"Saat bahan dasar ini dibuat, seluruh warga dunia berada pada situasi sama yaitu hidup di bawah bayang-bayang covid 19. Krisis akibat covid terjadi di semua sektor. Situasi ini membuat kehidupan serasa menakutkan, kelam dan keputusasaan. Di tengah situasi itu ada beragam respon orang. Ada pihak yang mempersalahkan keadaan, ada yang gemar menebar ketakutan dengan berita bohong, ada yang menjadi apatis sebab tidak mengerti apa yang harus diperbuat, ada yang tetap bersemangat, optimis bahwa pandemi ini bisa ditangani dengan segera.",3,Sermon
7,"Covid menjadikan rasa damai hilang. Hilangnya rasa damai itu tampak dari berbagai reaksi warga dunia. Penolakan terhadap jenazah oleh sebagian warga masyarakat karena menganggap korban sebagai aib, ketakutan karena kawatir tertular, ketakutan akibat berbagai berita menyesatkan tentang virus dan sebagainya membuat penolakan warga pada pemakaman terjadi. Di sisi lain ada pula kisah tentang warga meminta secara paksa jenazah yang dinyatakan meninggal akibat covid 19 dengan mengabaikan protocol kesehatan karena abai terhadap pandemi. Dalam skala yang lebih luas, covid menjadikan negara-negara di seluruh dunia mengalami kegagapan sehingga terjadi perubahan-perubahan regulasi yang begitu cepat. Hal itu sangat memilukan. Ternyata covid melahirkan krisis dan kegugupan berskala global.",3,Sermon
8,"Situasi krisis ini melahirkan pertanyaan: apa tindakan Allah di dalam situasi semacam ini? Apakah Dia hanya berdiam diri sementara umat-Nya pontang-panting berjuang untuk memulihkan kehidupan? Mungkinkah Allah telah kalah? Atau jika Allah itu berkuasa, mengapa ada malapetaka?",3,Sermon
9,"Peristiwa salib mengajak kita menghayati peristiwa masa kini untuk menemukan jawab apakah Allah itu kalah dan membiarkan malapetaka menguasai dunia. Untuk mengawalinya, mari kita melihat tulisan Choan Seng Song demikian:",3,Sermon
10,"Sejak permulaan iman Kristen harus memperhitungkan kematian Yesus di kayu salib. Sungguh suatu awal yang memberikan tanda-tanda kegagalan! Maut adalah keterputusan kehidupan - suatu keterputusan yang tidak dapat dibatalkan. Maut menyangkal kehidupan, menakhlukkan makna dan menghancurkan hubungan-hubungan yang memungkinkan adanya kehidupan. Maut mengakhiri kemungkinan menjadi manusiawi dan pribadi. Dan kematian Yesus bukanlah kematian biasa; ini adalah jalan penuh aib dan salib yang mengerikan… Ia merupakan penyangkalan terhadap nilai-nilai yang dipegang dalam tradisi keagamaan umat-Nya. Kematian-Nya bukan sekadar secara pribadi, namun kematian seorang mesias yang dinanti-nantikan, sehingga menimbulkan kekecewaan yang besar. Ini lebih dari sekadar kehancuran kehidupan secara pribadi… Kematian Yesus di kayu salib secara harfiah merupakan mimpi buruk, mimpi mengerikan, yang daripadanya seseorang bangkit dan dengan susah payah mencoba melupakannya (Choan Seng Song, 2012, hal. 125-127).",3,Sermon
