,VALUE,label_id,label
0,Pengantar,0,Unlabeled
30,Penutup,0,Unlabeled
32,Refrensi,0,Unlabeled
44,[WSN],0,Unlabeled
50,Yoel 2:12-17,0,Unlabeled
53,Mazmur 51,0,Unlabeled
65,INTI PEWARTAAN,0,Unlabeled
83,[ERY],0,Unlabeled
96,Mazmur 21:1-10,0,Unlabeled
110,Markus 1:9-15,0,Unlabeled
114,INTI PEWARTAAN,0,Unlabeled
152,[TMDI],0,Unlabeled
153,REFERENSI,0,Unlabeled
171,Roma 4:13-25,0,Unlabeled
173,Markus 8:31-38,0,Unlabeled
177,INTI PEWARTAAN,0,Unlabeled
195,Amin,0,Unlabeled
196,[TMP],0,Unlabeled
206,Mazmur 19,0,Unlabeled
219,INTI PEWARTAAN,0,Unlabeled
248,[TN],0,Unlabeled
262,Efesus 2:1-10,0,Unlabeled
272,Pendahuluan,0,Unlabeled
273,[w:drawing],0,Unlabeled
276,[w:drawing],0,Unlabeled
279,[w:drawing],0,Unlabeled
281,[w:drawing],0,Unlabeled
283,[w:drawing],0,Unlabeled
284,[w:drawing],0,Unlabeled
289,[w:drawing],0,Unlabeled
291,[w:drawing],0,Unlabeled
294,[w:drawing],0,Unlabeled
295,[w:drawing],0,Unlabeled
296,Penutup,0,Unlabeled
302,[DL],0,Unlabeled
311,Mazmur 51:2-13,0,Unlabeled
314,Ibrani 5:5-10,0,Unlabeled
321,INTI PEWARTAAN,0,Unlabeled
340,[MG],0,Unlabeled
345,Yesaya 50:4-9a,0,Unlabeled
349,Filipi 2:5-11,0,Unlabeled
351,Markus 11:1-11,0,Unlabeled
354,INTI PEWARTAAN,0,Unlabeled
379,[AJ],0,Unlabeled
439,Mazmur 22,0,Unlabeled
452,INTI PEWARTAAN,0,Unlabeled
454,KOTBAH JANGKEP,0,Unlabeled
466,[WM],0,Unlabeled
471,Ayub 14:1-14,0,Unlabeled
478,1 Petrus 4:1-8,0,Unlabeled
498,[YAN],0,Unlabeled
557,Mazmur 114,0,Unlabeled
562,Lukas 24,0,Unlabeled
565,INTI PEWARTAAN,0,Unlabeled
595,VOTUM,0,Unlabeled
600,SALAM,0,Unlabeled
615,PENGAKUAN DOSA,0,Unlabeled
622,PENGOLESAN ABU,0,Unlabeled
640,Bacaan Pertama,0,Unlabeled
646,Bacaan Kedua,0,Unlabeled
655,Saat Teduh,0,Unlabeled
661,PERSEMBAHAN,0,Unlabeled
693,BERKAT,0,Unlabeled
697,[ERY],0,Unlabeled
698,,0,Unlabeled
704,Refrein:,0,Unlabeled
707,VOTUM,0,Unlabeled
710,SALAM,0,Unlabeled
718,Refrein:,0,Unlabeled
723,PENGAKUAN DOSA,0,Unlabeled
740,Refrein:,0,Unlabeled
745,Bacaan Pertama,0,Unlabeled
751,Bacaan Kedua,0,Unlabeled
760,Saat Teduh,0,Unlabeled
766,PERSEMBAHAN,0,Unlabeled
782,PENGUTUSAN,0,Unlabeled
784,BERKAT,0,Unlabeled
790,[TMDI],0,Unlabeled
791,,0,Unlabeled
797,VOTUM,0,Unlabeled
800,SALAM,0,Unlabeled
809,PENGAKUAN DOSA,0,Unlabeled
828,Bacaan Pertama,0,Unlabeled
834,Bacaan Kedua,0,Unlabeled
843,Saat Teduh,0,Unlabeled
849,PERSEMBAHAN,0,Unlabeled
856,Refrein:,0,Unlabeled
858,Refrein:,0,Unlabeled
860,Refrein:,0,Unlabeled
868,BERKAT,0,Unlabeled
872,[TMP],0,Unlabeled
873,,0,Unlabeled
876,(Umat Berdiri),0,Unlabeled
889,VOTUM,0,Unlabeled
892,SALAM,0,Unlabeled
895,(Umat Duduk),0,Unlabeled
896,KATA PEMBUKA,0,Unlabeled
902,Refrein:,0,Unlabeled
912,(Umat Berdiri),0,Unlabeled
918,NYANYIAN UMAT,0,Unlabeled
923,Refr:,0,Unlabeled
928,Refr:,0,Unlabeled
929,(Umat Duduk),0,Unlabeled
934,Bacaan Pertama,0,Unlabeled
940,Bacaan Kedua,0,Unlabeled
944,Bacaan Injil,0,Unlabeled
949,Saat Hening,0,Unlabeled
950,(Umat Berdiri),0,Unlabeled
951,PENGAKUAN IMAN,0,Unlabeled
954,(Umat Duduk),0,Unlabeled
955,DOA SYAFAAT,0,Unlabeled
957,PERSEMBAHAN,0,Unlabeled
965,Reff:,0,Unlabeled
969,(Umat Berdiri),0,Unlabeled
973,U: 	Amin.,0,Unlabeled
975,[w:drawing],0,Unlabeled
976,PENGUTUSAN,0,Unlabeled
984,PENGUTUSAN,0,Unlabeled
992,BERKAT,0,Unlabeled
997,[TN],0,Unlabeled
998,Pra Ibadah,0,Unlabeled
1001,Warta Jemaat,0,Unlabeled
1002,Prosesi Lilin,0,Unlabeled
1004,PROSESI,0,Unlabeled
1008,(Umat berdiri),0,Unlabeled
1012,Reff:,0,Unlabeled
1017,Reff:,0,Unlabeled
1018,VOTUM,0,Unlabeled
1021,SALAM,0,Unlabeled
1024,(Umat duduk),0,Unlabeled
1025,KATA PEMBUKA,0,Unlabeled
1049,(Umat Berdiri),0,Unlabeled
1060,(Umat duduk),0,Unlabeled
1080,U:	Hosiana 3X,0,Unlabeled
1081,KHOTBAH,0,Unlabeled
1083,SAAT HENING,0,Unlabeled
1084,(Umat Berdiri),0,Unlabeled
1085,PENGAKUAN IMAN,0,Unlabeled
1088,(Umat duduk),0,Unlabeled
1089,DOA SYAFAAT,0,Unlabeled
1110,(Umat Berdiri),0,Unlabeled
1113,U:	Amin.,0,Unlabeled
1116,UMAT BERNYANYI,0,Unlabeled
1130,PENGUTUSAN,0,Unlabeled
1137,BERKAT,0,Unlabeled
1142,[DL],0,Unlabeled
1149,VOTUM,0,Unlabeled
1152,SALAM,0,Unlabeled
1200,Bacaan Pertama,0,Unlabeled
1206,Bacaan Kedua,0,Unlabeled
1215,Saat Teduh,0,Unlabeled
1221,PERSEMBAHAN,0,Unlabeled
1238,PENGUTUSAN,0,Unlabeled
1240,BERKAT,0,Unlabeled
1243,[MG],0,Unlabeled
1289,BacaanPertama,0,Unlabeled
1306,PembacaanInjil,0,Unlabeled
1336,Refr.:,0,Unlabeled
1355,Prosesi lilin,0,Unlabeled
1362,Reff:,0,Unlabeled
1369,Reff:,0,Unlabeled
1402,Reff:,0,Unlabeled
1409,Reff:,0,Unlabeled
1419,Reff:,0,Unlabeled
1426,Reff:,0,Unlabeled
1429,(dibacakan),0,Unlabeled
1435,Reff:,0,Unlabeled
1440,Reff:,0,Unlabeled
1473,-,0,Unlabeled
1540,Bacaan Pertama,0,Unlabeled
1546,Bacaan Kedua,0,Unlabeled
1595,Refrein:,0,Unlabeled
1600,Refr.,0,Unlabeled
1613,Refrein:,0,Unlabeled
1623,DOA SYAFAAT,0,Unlabeled
1649,Reff:,0,Unlabeled
1655,-,0,Unlabeled
1658,Reff:,0,Unlabeled
1689,-,0,Unlabeled
1693,-,0,Unlabeled
1696,Reff:,0,Unlabeled
1703,-,0,Unlabeled
1717,-,0,Unlabeled
1725,-,0,Unlabeled
1745,[w:drawing],0,Unlabeled
1785,BacaanPertama,0,Unlabeled
1790,BacaanKedua,0,Unlabeled
1793,PembacaanInjil,0,Unlabeled
1797,Doa Syafaat,0,Unlabeled
1811,Refrein:,0,Unlabeled
1817,Refrein:,0,Unlabeled
1822,Reff.,0,Unlabeled
1827,Jeda 5 detik,0,Unlabeled
1830,FOKUS,0,Unlabeled
1840,Ayat hapalan:,0,Unlabeled
1842,TATA IBADAH,0,Unlabeled
1843,Sapaan,0,Unlabeled
1845,Doa Pembukaan,0,Unlabeled
1852,KELAS PAUD,0,Unlabeled
1854,Pembukaan,0,Unlabeled
1863,Aktivitas,0,Unlabeled
1867,Pensil warna,0,Unlabeled
1868,KELAS KECIL,0,Unlabeled
1870,Pembukaan,0,Unlabeled
1879,Aktivitas,0,Unlabeled
1883,Pensil warna,0,Unlabeled
1884,KELAS BESAR,0,Unlabeled
1886,Pembukaan,0,Unlabeled
1895,Aktivitas,0,Unlabeled
